name_prison,name_short,lon,lat,ADDRESS 1,CITY,STATE,ZIP,PHONE,EMAIL1,EMAIL2,EMAIL,WEBSITE,ABBREVIATOIN
CCM Salt Lake City - Community Corrections Office,salt-lake-city,-111.889088,40.76185,"324 South State Street, Ste 228",Salt Lake City,UT,84111, (801) 524-4212, CSL/CCM@BOP.GOV , CSL,CCM@BOP.GOV ,http://www.bop.gov/DataSource/execute/dsFacilityAddressLoc?start=y&facilityCode=csl,csl
CI Cibola County - Correctional Institution,cibola,-107.907943,35.179145,P.O. BOX 3540,Milan,NM,87021,(505) 285-6991,CIB/GENERAL@BOP.GOV ,CIB,GENERAL@BOP.GOV ,http://www.bop.gov/DataSource/execute/dsFacilityAddressLoc?start=y&facilityCode=CIB,cib
FCI Berlin - Federal Correctional Institution,berlin,-71.134608,44.521147,P.O. BOX 69,Berlin,NH,3570,(603) 342-4000,BER/EXECASSISTANT@BOP.GOV ,BER,EXECASSISTANT@BOP.GOV ,http://www.bop.gov/locations/institutions/ber/index.jsp,ber
FCI Butner Medium I - Federal Correctional Institution,butner,-78.80647,36.145909,P.O. BOX 1000,Butner,NC,27509,(919) 575-4541,BUF/EXECASSISTANT@BOP.GOV ,BUF,EXECASSISTANT@BOP.GOV ,http://www.bop.gov/locations/institutions/but/index.jsp,but
FCI Cumberland - Federal Correctional Institution,cumberland,-78.762928,39.596141,14601 Burbridge Road SE,Cumberland,MD,21502,(301) 784-1000,CUM/EXECASSISTANT@BOP.GOV ,CUM,EXECASSISTANT@BOP.GOV ,http://www.bop.gov/locations/institutions/cum/index.jsp,cum
FCI Danbury- Federal Correctional Institute,danbury,-73.468436,41.43676,Route 37,Danbury,CT,6811,(203) 743-6471,DAN/EXECASSISTANT@BOP.GOV ,DAN,EXECASSISTANT@BOP.GOV ,http://www.bop.gov/locations/institutions/dan/index.jsp,dan
FCI Edgefield- Federal Correctional Institution,edgefield,-81.91641,33.758073,P.O. BOX 723,Edgefield,SC,29824,(803) 637-1500,EDG/EXECASSISTANT@BOP.GOV ,EDG,EXECASSISTANT@BOP.GOV ,http://www.bop.gov/locations/institutions/edg/index.jsp,edg
FCI El Reno - Federal Correctional Institution,el-reno,-98.004645,35.533727,P.O. BOX 1000,El Reno,OK,73036,(405) 262-4875,ERE/EXECASSISTANT@BOP.GOV,ERE,EXECASSISTANT@BOP.GOV,http://www.bop.gov/locations/institutions/ere/index.jsp,ere
FCI Elkton - Federal Correctional Institution,elkton,-80.705295,40.772446,P.O. BOX 129,Lisbon,OH,44432,(330) 420-6200,ELK/EXECASSISTANT@BOP.GOV ,ELK,EXECASSISTANT@BOP.GOV ,http://www.bop.gov/locations/institutions/elk/index.jsp,elk
FCI Englewood - Federal Correctional Institute,englewood,-105.105722,39.641336,9595 West Quincy Avenue,Littleton,CO,80123,(303) 763-4300,ENG/EXECASSISTANT@BOP.GOV ,ENG,EXECASSISTANT@BOP.GOV ,http://www.bop.gov/locations/institutions/eng/index.jsp,eng
FCI Fairton - Federal Correctional Institution,fairton,-75.160675,39.385499,P.O. BOX 280,Fairton,NJ,8320,(856) 453-1177,FAI/EXECASSISTANT@BOP.GOV ,FAI,EXECASSISTANT@BOP.GOV ,http://www.bop.gov/locations/institutions/fai/index.jsp,fai
FCI Forrest City - Medium Federal Correctional Institution,forrest-city,-90.803076,34.982015,PO BOX 7000,Forrest City,AR,72336,(870) 494-4200,FOM/EXECASSISTANT@BOP.GOV ,FOM,EXECASSISTANT@BOP.GOV ,http://www.bop.gov/locations/institutions/fom/index.jsp,fom
FCI Memphis - Federal Corrections Institute,memphis,-89.866972,35.155996,1101 John A Denie Road,Memphis,TN,38134,(901) 372-2269,MEM/EXECASSISTANT@BOP.GOV ,MEM,EXECASSISTANT@BOP.GOV ,http://www.bop.gov/locations/institutions/mem/index.jsp,mem
FCI Milan - Federal Correctional Institution,milan,-83.669375,42.094938,P.O. BOX 9999,Milan,MI,48160,(734) 439-1511,MIL/EXECASSISTANT@BOP.GOV ,MIL,EXECASSISTANT@BOP.GOV ,http://www.bop.gov/locations/institutions/mil/index.jsp,mil
FCI Otisville - Federal Correctional Institution,otisville,-74.527005,41.497049,P.O. BOX 600,Otisville,NY,10963,(845) 386-6700,OTV/EXECASSISTANT@BOP.GOV ,OTV,EXECASSISTANT@BOP.GOV ,http://www.bop.gov/locations/institutions/otv/index.jsp,otv
