name,type,address_1,address_2,city,state,zip,address_full,phone,email_1,email_2,email,website,abbreviation,name_short,lon,lat,coordinates,state_full,warden
CCM Salt Lake City - Community Corrections Office,Federal Prison,"324 South State Street, Ste 228",,Salt Lake City,UT,84111,"324 South State Street, Ste 228, Salt Lake City, UT 84111", (801) 524-4212, CSL/CCM@BOP.GOV , CSL,CCM@BOP.GOV ,http://www.bop.gov/DataSource/execute/dsFacilityAddressLoc?start=y&facilityCode=csl,csl,salt-lake-city,-111.889088,40.76185,"'-111.889088,40.76185'",,
CI Cibola County - Correctional Institution,Federal Prison,P.O. BOX 3540,,Milan,NM,87021,"P.O. BOX 3540, Milan, NM 87021",(505) 285-6991,CIB/GENERAL@BOP.GOV ,CIB,GENERAL@BOP.GOV ,http://www.bop.gov/DataSource/execute/dsFacilityAddressLoc?start=y&facilityCode=CIB,cib,cibola,-107.907943,35.179145,"'-107.907943,35.179145'",,
FCI Berlin - Federal Correctional Institution,Federal Prison,P.O. BOX 69,,Berlin,NH,3570,"P.O. BOX 69, Berlin, NH 3570",(603) 342-4000,BER/EXECASSISTANT@BOP.GOV ,BER,EXECASSISTANT@BOP.GOV ,http://www.bop.gov/locations/institutions/ber/index.jsp,ber,berlin,-71.134608,44.521147,"'-71.134608,44.521147'",,
FCI Butner Medium I - Federal Correctional Institution,Federal Prison,P.O. BOX 1000,,Butner,NC,27509,"P.O. BOX 1000, Butner, NC 27509",(919) 575-4541,BUF/EXECASSISTANT@BOP.GOV ,BUF,EXECASSISTANT@BOP.GOV ,http://www.bop.gov/locations/institutions/but/index.jsp,but,butner,-78.80647,36.145909,"'-78.80647,36.145909'",,
FCI Cumberland - Federal Correctional Institution,Federal Prison,14601 Burbridge Road SE,,Cumberland,MD,21502,"14601 Burbridge Road SE, Cumberland, MD 21502",(301) 784-1000,CUM/EXECASSISTANT@BOP.GOV ,CUM,EXECASSISTANT@BOP.GOV ,http://www.bop.gov/locations/institutions/cum/index.jsp,cum,cumberland,-78.762928,39.596141,"'-78.762928,39.596141'",,
FCI Danbury- Federal Correctional Institute,Federal Prison,Route 37,,Danbury,CT,6811,"Route 37, Danbury, CT 6811",(203) 743-6471,DAN/EXECASSISTANT@BOP.GOV ,DAN,EXECASSISTANT@BOP.GOV ,http://www.bop.gov/locations/institutions/dan/index.jsp,dan,danbury,-73.468436,41.43676,"'-73.468436,41.43676'",,
FCI Edgefield- Federal Correctional Institution,Federal Prison,P.O. BOX 723,,Edgefield,SC,29824,"P.O. BOX 723, Edgefield, SC 29824",(803) 637-1500,EDG/EXECASSISTANT@BOP.GOV ,EDG,EXECASSISTANT@BOP.GOV ,http://www.bop.gov/locations/institutions/edg/index.jsp,edg,edgefield,-81.91641,33.758073,"'-81.91641,33.758073'",,
FCI El Reno - Federal Correctional Institution,Federal Prison,P.O. BOX 1000,,El Reno,OK,73036,"P.O. BOX 1000, El Reno, OK 73036",(405) 262-4875,ERE/EXECASSISTANT@BOP.GOV,ERE,EXECASSISTANT@BOP.GOV,http://www.bop.gov/locations/institutions/ere/index.jsp,ere,el-reno,-98.004645,35.533727,"'-98.004645,35.533727'",,
FCI Elkton - Federal Correctional Institution,Federal Prison,P.O. BOX 129,,Lisbon,OH,44432,"P.O. BOX 129, Lisbon, OH 44432",(330) 420-6200,ELK/EXECASSISTANT@BOP.GOV ,ELK,EXECASSISTANT@BOP.GOV ,http://www.bop.gov/locations/institutions/elk/index.jsp,elk,elkton,-80.705295,40.772446,"'-80.705295,40.772446'",,
FCI Englewood - Federal Correctional Institute,Federal Prison,9595 West Quincy Avenue,,Littleton,CO,80123,"9595 West Quincy Avenue, Littleton, CO 80123",(303) 763-4300,ENG/EXECASSISTANT@BOP.GOV ,ENG,EXECASSISTANT@BOP.GOV ,http://www.bop.gov/locations/institutions/eng/index.jsp,eng,englewood,-105.105722,39.641336,"'-105.105722,39.641336'",,
FCI Fairton - Federal Correctional Institution,Federal Prison,P.O. BOX 280,,Fairton,NJ,8320,"P.O. BOX 280, Fairton, NJ 8320",(856) 453-1177,FAI/EXECASSISTANT@BOP.GOV ,FAI,EXECASSISTANT@BOP.GOV ,http://www.bop.gov/locations/institutions/fai/index.jsp,fai,fairton,-75.160675,39.385499,"'-75.160675,39.385499'",,
FCI Forrest City - Medium Federal Correctional Institution,Federal Prison,PO BOX 7000,,Forrest City,AR,72336,"PO BOX 7000, Forrest City, AR 72336",(870) 494-4200,FOM/EXECASSISTANT@BOP.GOV ,FOM,EXECASSISTANT@BOP.GOV ,http://www.bop.gov/locations/institutions/fom/index.jsp,fom,forrest-city,-90.803076,34.982015,"'-90.803076,34.982015'",,
FCI Memphis - Federal Corrections Institute,Federal Prison,1101 John A Denie Road,,Memphis,TN,38134,"1101 John A Denie Road, Memphis, TN 38134",(901) 372-2269,MEM/EXECASSISTANT@BOP.GOV ,MEM,EXECASSISTANT@BOP.GOV ,http://www.bop.gov/locations/institutions/mem/index.jsp,mem,memphis,-89.866972,35.155996,"'-89.866972,35.155996'",,
FCI Milan - Federal Correctional Institution,Federal Prison,P.O. BOX 9999,,Milan,MI,48160,"P.O. BOX 9999, Milan, MI 48160",(734) 439-1511,MIL/EXECASSISTANT@BOP.GOV ,MIL,EXECASSISTANT@BOP.GOV ,http://www.bop.gov/locations/institutions/mil/index.jsp,mil,milan,-83.669375,42.094938,"'-83.669375,42.094938'",,
FCI Otisville - Federal Correctional Institution,Federal Prison,P.O. BOX 600,,Otisville,NY,10963,"P.O. BOX 600, Otisville, NY 10963",(845) 386-6700,OTV/EXECASSISTANT@BOP.GOV ,OTV,EXECASSISTANT@BOP.GOV ,http://www.bop.gov/locations/institutions/otv/index.jsp,otv,otisville,-74.527005,41.497049,"'-74.527005,41.497049'",,
FCI Oxford - Federal Correctional Institution,Federal Prison,P.O. BOX 500,,Oxford,WI,53952,"P.O. BOX 500, Oxford, WI 53952",(608) 584-5511, OXF/EXECASSISTANT@BOP.GOV , OXF,EXECASSISTANT@BOP.GOV ,http://www.bop.gov/locations/institutions/oxf/index.jsp,oxf,oxford,-89.651398,43.86587,"'-89.651398,43.86587'",,
FCI Sheridan - Federal Correctional Institution,Federal Prison,P.O. BOX 800,,Sheridan,OR,97378,"P.O. BOX 800, Sheridan, OR 97378",(503) 843-4442,SHE/EXECASSISTANT@BOP.GOV ,SHE,EXECASSISTANT@BOP.GOV ,http://www.bop.gov/locations/institutions/she/index.jsp,she,sheridan,-123.380512,45.083993,"'-123.380512,45.083993'",,
FCI Talladega - Federal Correction Institute,Federal Prison,565 East Renfroe Road,,Talladega,AL,35160,"565 East Renfroe Road, Talladega, AL 35160", (256) 315-4100 ,TDG/EXECASSISTANT@BOP.GOV ,TDG,EXECASSISTANT@BOP.GOV ,http://www.bop.gov/locations/institutions/tdg/index.jsp,tdg,talladega,-86.14007,33.420356,"'-86.14007,33.420356'",,
