name,type,address_1,address_2,city,state,zip,address_full,phone,email_1,email_2,email,website,abbreviation,name_short,lon,lat,coordinates,state_full,warden
Bibb Correctional Facility,State Prison,565 Bibb Lane,,Brent,AL,35034,"565 Bibb Lane , Brent, AL 35034",(205) 926-5252,,,,http://doc.alabama.gov/facility.aspx?loc=39,,,-87.162781,32.920754,'-87.16278132.920754',ALABAMA,Willie Thomas
Anchorage Correctional Complex,State Prison,East 4th Avenue,,Anchorage,AK,99501,"East 4th Avenue , Anchorage, AK 99501",(907) 269-4100,,,,http://correct.state.ak.us/institutions/anchorage,,,-149.831918,61.219183,'-149.83191861.219183',ALASKA,Deborah Miller 
Arizona State Prison Complex - Tucson,State Prison,South Wilmot  P.O. Box 24400 ,,Tucson,AZ,85734-4400,"South Wilmot  P.O. Box 24400  , Tucson, AZ 85734-4400",(520) 574-0024 ,,,,http://azcorrections.gov/prisons/Prisca_Prisons_Tucson.aspx,,,-110.86578,32.066101,'-110.8657832.066101',ARIZONA,Therese Schroeder 
Maximum Security Unit,State Prison,2501 State Farm Rd.,,Tucker,AR,72168-8713,"2501 State Farm Rd. , Tucker, AR 72168-8713",(501) 842-3800,,,,http://adc.arkansas.gov/faciliities/Pages/facilityDetails.aspx?show=16,,,-91.914595,34.454938,'-91.91459534.454938',ARKANSAS,
Folsom State Prison,State Prison,Prison Road,,Represa,CA,95671,"Prison Road , Represa, CA 95671",(916) 985-2561 ,,,,http://cdcr.ca.gov/Facilities_Locator/FSP.html,,,-121.159923,38.687518,'-121.15992338.687518',CALIFORNIA,Rick Hill
CSP - Colorado State Penitentiary,State Prison,P.O. Box 777,,Cañon City,CO,81215,"P.O. Box 777 , Cañon City, CO 81215",(719) 269-5120,,,,http://doc.state.co.us/facility/csp-colorado-state-penitentiary,,,-105.157981,38.440311,'-105.15798138.440311',COLORADO,Travis Trani
MacDougall-Walker Correctional Institution,State Prison,"1153 East Street, South ",,Suffield ,CT,6080,"1153 East Street, South  , Suffield , CT 6080",(860) 627-2100 ,,,,http://ct.gov/doc/cwp/view.asp?a=1499&Q=265424&docNav=|,,,-72.628569,41.947727,'-72.62856941.947727',CONNECTICUT,Peter J. Murphy
James T. Vaughn Correctional Center,State Prison,1181 Paddock Road,,Smyrna,DE,19977,"1181 Paddock Road , Smyrna, DE 19977",(302) 653-9261,,,,http://doc.delaware.gov/BOP/PrisonDCC.shtml,,,-75.604423,39.339151,'-75.60442339.339151',DELAWARE,David Pierce
Florida State Prison,State Prison,7819 N.W. 228th Street,,Raiford,FL,32026-1000,"7819 N.W. 228th Street , Raiford, FL 32026-1000",(904) 368-2500,,,,http://dc.state.fl.us/facilities/region2/205.html,,,-82.18365,30.05844,'-82.1836530.05844',FLORIDA,John Palmer
Georgia Diagnostic and Classification State Prison,State Prison,Highway 36 West,Post Office Box 3877,Jackson,GA,30233,"Highway 36 West Post Office Box 3877, Jackson, GA 30233",(770) 504-2000 ,,,,http://dcor.state.ga.us/GDC/FacilityMap/html/ga_diag_class_pris.html,,,-84.061396,33.221834,'-84.06139633.221834',GEORGIA,Bruce Chatman
The Waiawa Correctional Facility ,State Prison,P.O. Box 1839,,Pearl City,HI,96782,"P.O. Box 1839 , Pearl City, HI 96782",(808) 677-6150,,,,http://dps.hawaii.gov/about/divisions/corrections/prisons/wc/,,,-157.962113,21.445111,'-157.96211321.445111',HAWAII,
Idaho State Correctional Institution,State Prison,PO Box 14,,Boise,ID,83707,"PO Box 14 , Boise, ID 83707",(208) 336-0740,,,,http://idoc.idaho.gov/content/locations/prisons/idaho_state_correctional_institution,,,-116.220327,43.477571,'-116.22032743.477571',IDAHO,Randy Blades
Menard Correctional Center ,State Prison,711 Kaskaskia Street,P.O. Box 711,Menard,IL,62259,"711 Kaskaskia Street P.O. Box 711, Menard, IL 62259",(618) 826-5071,,,,http://www2.illinois.gov/idoc/facilities/Pages/menardcorrectionalcenter.aspx,,,-89.843026,37.911638,'-89.84302637.911638',ILLINOIS,Rick Harrington
Pendleton Correctional Facility,State Prison,4490 W. Reformatory Rd.,,Pendleton,IN,46064-9001,"4490 W. Reformatory Rd. , Pendleton, IN 46064-9001",(765) 778-2107,,,,http://in.gov/idoc/2411.htm,,,-85.760139,39.98302,'-85.76013939.98302',INDIANA,Dushan Zatecky
Iowa State Penitentiary,State Prison,3 John Bennett Drive,PO Box 316,Fort Madison,IA,52627,"3 John Bennett Drive PO Box 316, Fort Madison, IA 52627",(319) 372-5432,,,,http://doc.state.ia.us/,,,-91.297976,40.651947,'-91.29797640.651947',IOWA,Nick Ludwick
Ellsworth Correctional Facility,State Prison,P. O. Box 107 ,,Ellsworth,KS,67439,"P. O. Box 107  , Ellsworth, KS 67439",(785) 472-5501,,,,http://dc.state.ks.us/facilities/ecf,,,-98.215075,38.724509,'-98.21507538.724509',KANSAS,Joe Fowler
Kentucky State Penitentiary,State Prison,266 Water Street,,Eddyville,KY,42038,"266 Water Street , Eddyville, KY 42038",(270) 388-2211,,,,http://corrections.ky.gov/depts/AI/KSP/Pages/default.aspx,,,-88.077824,37.0488,'-88.07782437.0488',KENTUCKY,Randy White 
Louisiana State Penitentiary,State Prison,17544 Tunica Trace,,Angola,LA,70712,"17544 Tunica Trace , Angola, LA 70712",(225) 655-4411,,,,http://doc.la.gov/pages/correctional-facilities/louisiana-state-penitentiary/,,,-91.593904,30.955437,'-91.59390430.955437',LOUISIANA,Burl Cain
Maine State Prison,State Prison,807 Cushing Road ,,Warren,ME,4864,"807 Cushing Road  , Warren, ME 4864",(207) 273-5300,,,,http://maine.gov/corrections/adultfacilities/prison.shtml,,,-69.229936,44.065405,'-69.22993644.065405',MAINE,Rodney Bouffard
Maryland Correctional Institution - Hagerstown,State Prison,18601 Roxbury Road,,Hagerstown,MD,21746,"18601 Roxbury Road , Hagerstown, MD 21746",(240) 420-1000,,,,http://dpscs.state.md.us/locations/mcih.shtml,,,-77.714176,39.557724,'-77.71417639.557724',MARYLAND,Wayne A. Webb
MCI-Cedar Junction at Walpole,State Prison,Route 1A,P.O. Box 100,South Walpole,MA,2071,"Route 1A P.O. Box 100, South Walpole, MA 2071",(508) 660-8000,,,,http://mass.gov/eopss/law-enforce-and-cj/prisons/doc-facilities/mci-cedar-junction.html,,,-71.289996,42.105322,'-71.28999642.105322',MASSACHUSETTS,James Saba
G. Robert Cotton Correctional Facility ,State Prison,3500 N. Elm Road,,Jackson,MI,49201,"3500 N. Elm Road , Jackson, MI 49201",(517) 780-5000,,,,"http://michigan.gov/corrections/0,4551,7-119-1381_1385-5333--,00.html",,,-84.384299,42.287486,'-84.38429942.287486',MICHIGAN,Randall Haas 
Minnesota Correctional Facility – Faribault,State Prison,101 Linden Lane,,Faribault,MN,55021-6400,"101 Linden Lane , Faribault, MN 55021-6400",(507) 334-0700,,,,http://doc.state.mn.us/facilities/Faribault.htm,,,-93.252452,44.283857,'-93.25245244.283857',MINNESOTA,Bruce Reiser
South Mississippi Correctional Institution,State Prison,Post Office Box 1419,22689 Hwy 63 North,Leakesville,MS,39451,"Post Office Box 1419 22689 Hwy 63 North, Leakesville, MS 39451",(601) 394-5600,,,,http://mdoc.state.ms.us/division_of_institutions%20State%20Prisons.htm,,,-88.605992,31.176787,'-88.60599231.176787',MISSISSIPPI,Ron King
Chillicothe Correctional Center ,State Prison,3151 Litton Road,,Chillicothe,MO,64601,"3151 Litton Road , Chillicothe, MO 64601",(660) 646-4032,,,,http://doc.mo.gov/DAI/Institutional_Facilities.php,,,-93.538914,39.832206,'-93.53891439.832206',MISSOURI,Steve Larkins
Montana State Prison,State Prison,400 Conley Lake Road,,Deer Lodge,MT,59722,"400 Conley Lake Road , Deer Lodge, MT 59722",(406) 846-1320,,,,http://cor.mt.gov/MSP/default.mcpx,,,-112.796696,46.389755,'-112.79669646.389755',MONTANA,Leroy Kirkegard
Nebraska State Penitentiary,State Prison,P.O. Box 22500,,Lincoln,NE,68542-2500,"P.O. Box 22500 , Lincoln, NE 68542-2500",(402) 479-3227,,,,http://corrections.nebraska.gov/nsp.html,,,-96.703969,40.769587,'-96.70396940.769587',NEBRASKA,Diane Sabatka-Rine
Ely State Prison,State Prison,4569 North State Rt.,,Ely,NV,89301,"4569 North State Rt. , Ely, NV 89301",(775) 289-8800,,,,http://doc.nv.gov/?q=node/24,,,-114.931274,39.384115,'-114.93127439.384115',NEVADA,Renee Baker
State Prison for Men,State Prison,PO Box 14,,Concord,NH,03302-0014 ,"PO Box 14 , Concord, NH 03302-0014 ",(603) 271-1801,,,,http://nh.gov/nhdoc/facilities/concord.html,,,-71.558386,43.227194,'-71.55838643.227194',NEW HAMPSHIRE,Richard M. Gerry
New Jersey State Prison,State Prison,Whittlesey Road,PO Box 863,Trenton,NJ,8625,"Whittlesey Road PO Box 863, Trenton, NJ 8625",(609) 292-4036,,,,http://state.nj.us/corrections/pages/contactus.html,,,-74.804628,40.247169,'-74.80462840.247169',NEW JERSEY,Stephen D'Ilio
Southern New Mexico Correctional Facility,State Prison,P.O. Box 639,1983 Joe R. Silva Boulevard,Las Cruces,NM,88004-0639,"P.O. Box 639 1983 Joe R. Silva Boulevard, Las Cruces, NM 88004-0639",(575) 523.3200 ,,,,http://corrections.state.nm.us/apd/snmcf.html,,,-106.77771,32.312191,'-106.7777132.312191',NEW MEXICO,Steve Nance
Attica Correctional Facility,State Prison,639 Exchange St,,Attica,NY,14011-0149,"639 Exchange St , Attica, NY 14011-0149",(585) 591-2000,,,,http://doccs.ny.gov/faclist.html,,,-78.275722,42.849377,'-78.27572242.849377',NEW YORK,
